external_gene_name	log2FoldChange	pvalue
DNAH1	-6.890992932826951	0.02115414881867472
TBCD	-6.879488575209288	4.101909225752996e-5
TMEM176B	-6.876044293101385	0.0057410877346791905
PRKCH	-6.872367556737631	5.143514186853882e-4
ADAM15	-6.865961699861797	0.0028779625236673234
NONHSAT250678.1	-6.778409838875386	0.0225418705083989
NONHSAT227526.1	-6.754791494629218	0.022664475982065484
RBKS	-6.7486781941284	1.7692221913841874e-4
TTC8	-6.745660562079552	0.024062523323671276
NONHSAT254136.1	-6.741399589139022	0.004979417340096566
SH3GLB2	-6.735095468157669	0.024958831595346474
NONHSAT252232.1	-6.7324646345972585	0.023788284806276715
VEGFA	-6.728317615744739	0.02386084787840839
STOM	-6.723643790334966	1.5875237639599232e-4
SLC35A3	-6.719385403889012	3.0518266332557847e-4
ATG9B	-6.701733703373581	2.2394097273543075e-4
MTTP	-6.665505212728242	0.026604607834805036
NONHSAT183239.1	-6.660076440739813	0.02672875612077863
PLCB1	-6.658347337836353	0.026335679989815047
RPH3AL	-6.602459725091269	3.4539604498069017e-6
CES3	-6.583535710450677	0.026285820595768665
BDP1	-6.580316601724216	0.0062947714763310824
EIF3L	-6.553531649974505	0.004161520077043958
HDLBP	-6.545312852524399	0.028229253554834986
EML5	-6.543239976569359	0.02952482025405389
INTS7	-6.526574961116418	0.027414359632487933
TCF4	-6.5240291944495	0.027378446332654103
MADD	-6.520549294737147	0.028027186825703775
ATP2C1	-6.505927667606745	0.029246670729817046
BMERB1	-6.495783693138272	0.029332240965027394
ISYNA1	-6.474084693285241	6.127361435992481e-7
MAPK3	-6.470191908736942	2.9659683892071425e-4
PIGT	-6.461308393635193	0.03011536026066187
PHLDB1	-6.456944109920875	0.029935785024712322
HACE1	-6.456781306765936	0.029619334089186287
ITGB2	-6.440668703507664	0.012899812114635338
PIGT	-6.437278649920139	0.008042744239301116
PDXDC2P	-6.399279311200325	0.03156564968213749
DLK1	-6.37554330273736	3.31250862160076e-4
AGPS	-6.333442238163498	0.004617473955676153
NONHSAT240873.1	-6.318170541451408	0.003100375813692971
HSD17B4	-6.316983917142149	7.673711765679728e-4
MEG3	-6.2662951948893095	0.035845596477090416
PRMT9	-6.264178823301416	0.03521640104666096
WDR90	-6.2593615274445895	0.006363259393050096
TMEM25	-6.255244768322817	0.009743600947967215
AP3D1	-6.2546739397448565	7.131199102102534e-6
CCT3	-6.244853790538563	0.006830912148245226
ARID2	-6.237827786261845	0.03619234579600629
CECR2	-6.2275538214233555	0.007211546371782311
CAP2	-6.215606637918958	0.03859124706229312
ZNF528	-6.1877564711080675	1.2748083770044275e-4
BRD1	-6.184825876929386	0.006524770870233121
SIVA1	-6.173294022957767	0.0064155954225354845
SPG7	-6.142865644060523	0.009435886474658366
NONHSAT250224.1	-6.138083726531764	1.8281227595586487e-4
ZC3H11A	-6.119508227155388	3.3311142814915343e-6
MRPL28	-6.103832326380947	3.0782188486786676e-5
NIN	-6.09582270078891	0.02022758408205102
DCTN4	-6.092042596104848	0.00263140401955385
EGLN2	-6.0824688175441795	3.0084351534513166e-4
RBM12B	-6.061503390176725	0.041240445173294116
EIF4B	-6.057309146645509	0.04180973221666431
CCDC85C	-6.001512874966343	0.044144768255610804
MYL5	-5.985971882100925	5.443355352622085e-4
SLC22A17	-5.979601106935675	0.011854050125642756
NONHSAT222664.1	-5.9778196911088815	0.04375200927580871
EML5	-5.970686450545771	0.008630397003474429
NCAPH	-5.9701331079099615	0.046311747322267775
SH2B1	-5.9273583678739605	0.047068431585402803
PCYT2	-5.925289989840038	0.009475500490866698
EXD2	-5.92479645856725	0.006522385498853455
NONHSAT063901.2	-5.907953167607436	0.009585889854358244
VWA1	-5.906337047198569	1.0968447549393344e-4
LINC02977	-5.9048551323912175	0.048521666335753125
IRX5	-5.90014746631215	0.04822933506170979
WDR6	-5.880529636462836	0.01000870801621656
NONHSAT151556.1	-5.8736735661224335	0.00882101606389366
PHTF1	-5.870024125573435	0.049401897668175876
NONHSAT208825.1	-5.866443740443834	0.04713136502499024
SEMA4G	-5.86206934138839	0.0011877244167772998
ST13	-5.852947753240045	7.526223817570748e-4
PRIMPOL	-5.850127938971097	2.591272362435653e-6
GOSR2	-5.849631751510965	0.010734507653158669
SPART	-5.828149214125589	2.5032042226964042e-5
COL11A2	-5.826460225554218	0.011110369425456032
SMAP2	-5.824733310616289	1.1063905559053002e-4
YY1AP1	-5.821409608658772	0.011272148553553865
ATP11B	-5.8019440777239115	0.048918797652321176
DR1	-5.769129250122655	0.010975262781409513
NOC2LP1	-5.766605512662147	0.011499348041143788
SPTBN2	-5.763906376668725	0.0021205349597106307
TRPM4	-5.75125095208332	1.6122226713770007e-4
HSP90B1	-5.747897735578324	4.599310210306292e-5
H4C15	-5.7406400525210115	4.973665657973601e-6
PHB1	-5.72528516875306	4.748080587282078e-5
OS9	-5.719076965960447	0.011932035674344489
HM13	-5.699537764675287	0.016722599717457758
ARNT2	-5.697511878080676	1.1421132116267813e-4
SMAD9	-5.6945177063052705	0.0013747027306419877
VNN1	-5.690910730408475	6.308319889551595e-4
NONHSAT101937.2	-5.6609192444002945	3.532484091679329e-5
PSMG1	-5.654267833823685	8.615194241967939e-4
APAF1	-5.639211685469788	0.02205347846102568
MECP2	-5.637797839617325	9.245425158618088e-4
MFN1	-5.634277612064843	0.013366472836212891
DENND2A	-5.615903450719644	0.026580657808067062
ZNF383	-5.608771247456732	7.742705305415817e-5
NONHSAT253044.1	-5.603785611583654	6.9565710722031334e-6
DHX58	-5.603520138929871	0.0011021762545821573
NFATC1	-5.5804774547533	3.3039186821362515e-4
UBE2I	-5.575251728270315	0.0019650238215592505
RANBP17	-5.568793291522723	0.016103559239163734
NONHSAT028687.2	-5.548739666972178	4.3019794666385045e-4
SLC29A1	-5.5483676396102135	0.014153651697088739
TNRC18	-5.526889578011638	4.810757572137989e-6
AHCYL2	-5.52588292452141	0.01517100438449309
BSPRY	-5.5234588372252	0.016080782761076794
CD82	-5.51436783984214	0.006560427769518538
NONHSAT175527.1	-5.452947136057791	1.8477224095189045e-4
CREM	-5.452773933132023	2.231970198472485e-4
NONHSAT233477.1	-5.450178652570888	0.018222700507645438
ADAMTS9-AS2	-5.438646674384908	0.0011187793405172083
DPY19L4	-5.433101825179201	2.0082330119171188e-5
AP3M2	-5.432606398553526	0.018563572492477216
PARN	-5.423882494939954	0.019731668112439732
MPI	-5.419649325818795	0.047056989372509114
NFATC3	-5.418747306363336	2.095927854316797e-4
UQCC1	-5.417879373134596	0.018048277809179693
CLCN2	-5.41777124831029	2.9336674324477636e-4
APIP	-5.411883013333515	0.018185232452238395
SYT1	-5.403122335663176	0.018745657697347255
ARHGEF6	-5.3964104697661295	4.6418945595011575e-5
SRPK1	-5.384563683440659	0.009783843790024659
TOR1AIP1	-5.382766146262188	2.401588776541024e-4
NONHSAT022125.2	-5.381156594500811	0.03683079787280144
C1R	-5.352340948370423	0.024854125445210384
SEMA4A	-5.346260098824563	7.920538812550753e-4
ZNF630	-5.344158923876007	0.00929029486766775
MEN1	-5.342440511533524	0.00231523736432655
RBFOX1	-5.3334736288863	0.0384767259474569
PIGT	-5.332040780789029	0.01840430718894721
HDHD2	-5.327960782140493	0.021373382059485045
C6orf62	-5.313115926815417	0.019294403982459293
ABCC1	-5.307615050711226	0.03557224473715251
TMEM126B	-5.291823521265074	1.1903475859576605e-4
CPPED1	-5.256026753749373	0.02178976216637512
CAMTA2	-5.2544481463648145	0.0060029512276776045
SLC2A4	-5.250490633937257	0.03375754221779112
KCNMA1	-5.2474177058804425	0.0021537277775962624
EPS8	-5.242962579604257	0.02197425089678935
HDAC10	-5.241746767485139	0.020905168765230735
STEAP1B	-5.23637997880951	2.373585217076057e-4
TNK2	-5.235903565001414	0.012929530001425164
XRCC2	-5.229196309865181	0.0033114724048272023
ADHFE1	-5.224688414588923	0.021633642663533757
NONHSAT250886.1	-5.21361078109735	0.03222739678802683
CDCA8	-5.211486526505438	0.03085212004504416
LENG8-AS1	-5.210449795366958	0.02243401439850542
ERGIC2	-5.207085138197921	2.923307182461677e-5
PRKCZ	-5.205776074473591	0.008801540488513674
AKR1E2	-5.205051414544922	0.022427134505660255
UBL7	-5.18486672782699	0.02243329471550685
DAPL1	-5.175924561676011	0.0016476237988604966
HEXIM2	-5.166258532795168	0.00371506247722073
EFR3B	-5.1650949124063885	0.02611275468176822
ANO6	-5.149413193492909	5.400877789385433e-4
COQ9	-5.135548277559249	0.04409032967508667
ANKFY1	-5.126174446723296	0.01921889121976446
PDK2	-5.124563977376946	0.04278022629457685
ENST00000553909	-5.124423572052139	0.02512486093950324
XRRA1	-5.116042053627379	0.028936684307081146
PIGT	-5.113021148159775	0.02368125281848212
TP53I11	-5.105106425105395	0.011109739272715118
SNED1	-5.095034091176807	7.553335465960649e-5
MSTRG.49133.2	-5.083106478855042	1.8063372340765605e-4
TRAPPC4	-5.070333687827863	6.0417540867469526e-5
SSBP3	-5.063695762723537	9.390977754269671e-7
BMP1	-5.059735447138313	0.020390841152236043
PCDHGA6	-5.059559891748424	0.044081565333889614
ENST00000638968	-5.057691581771608	0.02038402748736109
SYNE1	-5.034548412725655	4.889778422547954e-6
PCDHA13	-5.031119255854353	0.027326591683950838
MRPL42	-5.030268354524625	0.030329037673201786
NONHSAT206993.1	-5.026542310879213	0.004001347426824059
HVCN1	-5.014254554232468	0.02822941575237686
NONHSAT254307.1	-5.009040998218309	0.027609894897934462
CTNNBL1	-5.008051555143779	5.903136179624584e-4
NONHSAT031028.2	-5.006808019276182	2.532873747921727e-4
NONHSAT237706.1	-5.001631990862516	0.02762323556097042
USP28	-4.9901890426661115	0.031271413935907565
NONHSAT155864.1	-4.982606103316161	0.0014244666308150487
BACH1-IT2	-4.977800124838771	0.0037286323770579243
NONHSAT079117.2	-4.9775545441822935	0.04508760931470514
PARD3	-4.965647824209744	2.0544405905259698e-4
GMPR2	-4.963544068387246	0.0032858741563048894
ZNF383	-4.961225749702114	0.003766487295300563
MSTRG.30355.1	-4.951508743259742	1.6195630598740208e-6
RGS11	-4.940271392473598	0.004573296801191452
ENST00000611519	-4.92913297764036	0.007723613208478206
HEXIM2	-4.9081578000498505	0.03306184407089766
TCOF1	-4.8854882973961775	6.412428268812864e-4
MIOS	-4.871049195092487	0.031725076845467916
MEMO1	-4.87086183197406	0.019299941080632838
HOPX	-4.866677865585465	0.034833125438210835
SLC37A4	-4.857654482530047	0.04945747092603406
GSDMB	-4.857354469263001	0.0036783205460647977
IFIT2	-4.8531629915797465	0.033171758826006065
LRRFIP1	-4.851021642720278	2.381879109371415e-4
TRIM39	-4.8413985084108795	0.0020762247445350215
UCK1	-4.826115846803428	1.0256718440167223e-4
ILKAP	-4.809611248027528	0.03512515600277398
RPS24	-4.806764232425551	3.0594093232434033e-4
ZEB2	-4.804708053172036	6.945599417435977e-5
RBBP4	-4.80229139836441	0.006146815587041678
VPS37D	-4.798130352856504	0.035821420851403725
ZFAT	-4.793658461414932	1.1394552833549946e-8
LOXL3	-4.790696530397853	0.009884500538415851
CLIC6	-4.764033449986029	6.716206076302332e-4
SS18	-4.761016498630444	9.76774506586724e-6
NUDT1	-4.751388780519725	2.491954866054633e-4
FGGY	-4.7483979117384285	2.516760410483845e-4
HMBS	-4.744046138063535	0.016313228917685794
CIAPIN1	-4.7264711605115535	0.022286508161947955
PLCB4	-4.7232244040266975	8.663302258479949e-4
CDK4	-4.701491095957231	0.0037306480591860407
NOP2	-4.690754308694023	0.04416815319202768
MRPL43	-4.680409809933984	0.04161142286141599
KRT17	-4.664504573784514	0.02148362965138243
SYNE1	-4.6588577377503535	2.0779263152163604e-8
CEP192	-4.642325023227049	0.014173488692498364
ENST00000404603	-4.638587659026544	0.004498721036463963
NUP50-DT	-4.630756697910242	5.351385804238688e-4
MSTRG.49133.3	-4.627926603414924	5.887277506473873e-4
SLC35A3	-4.6229330882381765	0.014115972313353682
PHF7	-4.620662730612534	1.592067610750094e-4
KRT13	-4.612462615438506	0.047470151531441095
APAF1	-4.611746613906924	0.02949507699136144
LDLRAD4	-4.603859432754996	0.008663768685160503
NONHSAT212183.1	-4.599467561277993	0.003844279781546206
PDCD5	-4.599279285012607	0.007069195451873607
NBR2	-4.595721960508627	2.8150953132872645e-4
ZMYND8	-4.5887634577721474	9.82495349556648e-4
BRD3OS	-4.583612689808569	0.04772069171197959
NONHSAT251302.1	-4.574916009744772	7.338564522907892e-4
LZTS2	-4.560596887606635	0.009259784721528944
SLC3A2	-4.540541634096845	9.545056954495912e-4
IQSEC2	-4.539679602598555	0.04911063973629387
TMEM25	-4.538468632840005	0.04765105975796026
MSR1	-4.531811519720535	0.023284756114788373
NONHSAT246682.1	-4.52595929152049	0.022415756445355227
AP1G2	-4.520004645294057	0.0019324143349418919
NONHSAT174978.1	-4.517830567570436	0.014573271921324401
APBB1	-4.491668106367635	3.565367597315234e-4
TUBBP1	-4.452277280059915	4.746911011836104e-33
NONHSAT052795.2	-4.431209539178673	0.009556607253521858
UVSSA	-4.414845818110571	0.023175952298633267
CCSER1	-4.409733990060639	0.017814590649168374
OR7A5	-4.405192735911887	0.01751333919130007
PJA1	-4.390020327773367	4.6962818479565424e-4
NONHSAT092802.2	-4.386157869523859	2.1263339875706087e-4
NSRP1	-4.385912015111823	0.022006927237926504
WNT7A	-4.382885920061833	0.030958468266529753
FAM222B	-4.3761226193885525	0.033036469979472786
DCTN4	-4.354478430826891	0.0028682073603591013
ZNF781	-4.34323260906203	0.0046542063678371385
NONHSAT203238.1	-4.338199593595471	3.744071286569272e-4
LAMB3	-4.318694095613789	8.381454733697428e-4
NONHSAT171425.1	-4.313339509267606	1.1802919701238875e-5
RPS6KL1	-4.2945133715642285	0.024114680522847615
BRD2	-4.2937208415556585	1.9467006233102373e-4
DHRS4-AS1	-4.293433987946941	0.04467721137275855
GRAMD4	-4.289522458586096	0.013677576686525523
ZC2HC1C	-4.2576803190182115	0.018726595462032966
LINC00839	-4.25285030981427	0.0319093024231483
PRR16	-4.244415623039141	0.01649446727004728
PSCA	-4.241898045846198	0.008924074394880938
DENND2A	-4.227737272227309	0.011118358910424881
MFSD4A	-4.222985182061241	0.02314285356789387
FOXQ1	-4.2212205066658255	0.03451932657801945
SYT14	-4.211119375799046	0.03289168424958541
ICAM3	-4.2078561462138815	0.02855026530416776
TBC1D31	-4.206302903531458	0.007400459597633227
TMPRSS2	-4.205396292499596	0.028712697046790015
ZNF250	-4.195286186106583	0.001011551025596106
KIAA1217	-4.195101859208317	0.01831649151723004
CLUAP1	-4.178666811251193	0.03967940628500517
NONHSAT147588.2	-4.173814730118474	1.0924310404426034e-5
TPRKB	-4.172953675660599	0.012357494769863557
HAUS4	-4.149734475588234	2.954805186219483e-4
IL31RA	-4.146994595622199	0.03546477986866042
NONHSAT258752.1	-4.139421582292135	0.0437388114907264
METTL16	-4.138766048871526	0.005543567339717229
B3GAT3	-4.13304534571541	8.37548073839904e-5
ENST00000415676	-4.127911839176343	0.017517956596371613
ZNF177	-4.122538475225349	4.1653996442521515e-4
TMCO3	-4.114250206730779	0.014050366512540125
HDAC2	-4.101448492987548	0.00500744296499247
ENST00000430049	-4.093271214187443	0.00587828713223131
ADGRL2	-4.0904386748784125	0.014380817146796414
NONHSAT121201.2	-4.080180992076602	0.04292451782434015
SATB1	-4.077910790824634	0.015636221318221056
LINC00662	-4.063893484132582	0.017060918081401026
ZFP57	-4.0608284285447045	0.01363110712266882
EYA4	-4.047010772407332	0.005158554267528749
KATNA1	-4.041368857989424	0.03070725648348171
MAD2L1	-4.031726111659463	0.02306027083498106
RADX	-4.029884598986007	0.011869715396561134
ENST00000555108	-4.024361472263638	0.045761064220758055
CHD8	-4.0226504905653835	0.03207499239780203
ENST00000607047	-4.018541144449187	0.0023320706783390445
ZNF91	-4.016053780576456	0.02087733588035249
KIFBP	-4.01570073777691	0.04442164836286155
NONHSAT202993.1	-4.015189478608672	0.007549224423695386
ABCG1	-4.0151647278594025	0.01141182052642135
FIBCD1	-4.015050533277243	0.041139715964756095
CDK5	-3.9976716081445605	0.030324691842622268
DDIAS	-3.9964786597383033	1.7726387802549848e-5
KIFAP3	-3.992613353436921	2.446688175073568e-5
ENST00000536578	-3.9872433675951524	0.01702744151766455
MSTRG.30354.35	-3.982477291673347	0.024439459820900532
NONHSAT034390.2	-3.9823783188384123	0.00195603078634052
KBTBD4	-3.98208376613124	8.545588442127334e-4
NCAM1	-3.981250514423547	0.0049900403001542325
KMT2E	-3.977938021563072	0.03356320365949391
NONHSAT035952.2	-3.9715101185885615	0.023623718255702073
RIPK2-DT	-3.9692300154687334	0.04629107739158117
RAD52	-3.9638658187580784	0.030002927213795043
PDE9A	-3.962138276939402	0.034679150399457646
NONHSAT237057.1	-3.953185670465521	0.028586997498271868
NONHSAT226272.1	-3.9455859083474025	2.473415795147261e-4
DHRS9	-3.9355089505624266	0.008868438784227882
NEIL2	-3.930239751835615	0.013258843506711636
STPG1	-3.927011242670377	0.04484213983225417
MOB3A	-3.9213308736788246	0.027527233575295663
NONHSAT242546.1	-3.9212584168212823	0.0162957386025524
LIPG	-3.9202983897051245	0.011942743675694067
CCSER2	-3.9196625035847834	0.0021355783539630203
WFS1	-3.907268882017811	0.0020769332978661354
GFOD2	-3.904815233823152	0.0022186412825232764
B3GNTL1	-3.901607210646707	0.0371973187043287
TREX1	-3.894657857555939	0.02312026495918312
NONHSAT080291.2	-3.8862110659563047	0.005575789723121074
FAAP100	-3.88523418397504	0.009306911230789977
COASY	-3.884901308641882	0.02398868069962337
PLIN1	-3.8833588895122673	0.0013433117975017582
SERPINI1	-3.8827794797956083	0.03458363479807905
CADPS	-3.8769195435123223	0.022666206673491663
DGKZ	-3.8734841598799363	0.007415083718406737
DENND4B	-3.87236027718346	0.025907951123081314
QARS1	-3.8556293261022447	0.02470377150459365
NEIL2	-3.8496934835797743	0.0073048371170409245
BTN3A1	-3.8384487947192247	0.015485502918146429
BMERB1	-3.8334209148745635	0.0016709386832800626
ZNF18	-3.8307960537359755	0.0010435117011086427
EPS8L1	-3.828097304987138	0.02752334905033911
ZNF230-DT	-3.8096739791274703	0.04952499615987378
DNAJC16	-3.8087797194821067	0.02656245839505583
PCNX1	-3.8087797194821067	0.02656245839505583
ZNF821	-3.807232715810042	0.010644721043413305
PRRG2	-3.805354531824991	0.0018019621366538831
KANK1	-3.7977595958225776	9.160193178443195e-5
TANGO2	-3.7846735693968454	7.211264438625662e-5
NONHSAT063984.2	-3.7753061028906263	0.030771375117258328
PPP2R2A	-3.771851064733192	0.03668667472806171
NONHSAT002577.2	-3.769475693928826	0.029072632086590732
BBS4	-3.7622939784379743	0.02151046448849953
PHGDH	-3.7607470051984713	1.1290752263810528e-6
CCT6B	-3.753287157371581	0.023081749049407053
NONHSAT004630.2	-3.7429950979675546	0.020471107502337806
SRSF11	-3.7400081139263546	1.4533760640282944e-5
MIR22HG	-3.73949109187476	0.0018536073937344979
ZNF285	-3.738156393008815	0.003958196772141762
PRPF39	-3.73570263974042	0.019846447708241233
NONHSAT033967.2	-3.7315431269801036	0.007296931715233321
NR1H3	-3.730435341844766	0.013290314856791604
NONHSAT079853.2	-3.727731073797338	0.0064611885932606755
ABI2	-3.7230967465172538	2.5418536604680286e-7
VIRMA	-3.71959892843158	0.04487578335469057
NONHSAT026371.2	-3.7186272850538318	0.029723798841300015
SPATA33	-3.7100276324425083	0.024093228690849053
FIGNL2	-3.7063411714660845	0.0044931657500872964
ENST00000624368	-3.705136116025097	0.0017899951782717025
NONHSAT193754.1	-3.702645815914337	0.04680103836960908
DYNLL1	-3.6995395131877893	0.03552171718527615
HLA-K	-3.699241066838803	0.03846725225840792
TBX15	-3.6975822843708186	0.031505256211046204
NONHSAT065868.2	-3.697513092862201	0.03472328476580843
ENST00000641916	-3.6931728465784084	4.672275895844563e-4
CYB5R1	-3.6834825744574284	0.03201491614557256
DPY30	-3.6826884432344693	0.02453756146478269
ZNG1F	-3.6764353526370157	0.02301892016399804
XRCC3	-3.671669296845804	0.011063645123088968
ZFP90	-3.6707558443558708	0.013262370108522513
NONHSAT249144.1	-3.6651112170308506	1.2872010789474205e-10
GSTZ1	-3.6625805329852805	0.04800302263791113
TREX1	-3.66209344341109	0.04289097779673928
ENST00000344297	-3.6599077075011075	0.019270824129728092
DPY19L2	-3.657674708778246	0.04133468418868781
DTNB	-3.6498541216662153	0.018396989516859558
CD36	-3.6462222158272137	0.003938810148022975
S100P	-3.6452215257962424	0.0046289600895153315
ATXN7L1	-3.6449041031058207	0.04271524271245438
LINC02614	-3.6365437861710763	0.03921002555190866
ZNF658	-3.628001031306492	0.0012901170510832614
RGS3	-3.6251459329287057	4.3290715436514794e-5
LINC00664	-3.621880765675008	0.046118967827959406
FRY	-3.619858079440528	0.01701143029602655
TPX2	-3.6197908205769402	1.9455976729527446e-4
RBBP9	-3.619058629432075	8.941395756492687e-5
PWRN1	-3.618864418417703	5.1545864679984733e-5
HCN3	-3.616683043970394	0.005965858391871788
ITGA6	-3.6100204437702357	0.019038489247045744
CARHSP1	-3.608420436941844	0.0045497813095525
DLG3	-3.597986335887717	0.024168228223697637
NCAM1	-3.596743743109685	0.02367226697080961
MDH1	-3.5957225183311743	0.0011058871475154268
NONHSAT175148.1	-3.5916323413858575	0.0011624503038603375
CAB39L	-3.5894197911897585	0.046722193494300554
GATD1-DT	-3.585144140140112	0.016986064827761334
TMEM25	-3.582885067845296	0.044492221195748353
COLCA1	-3.5824129913240963	0.029976271649842776
NONHSAT258791.1	-3.5785234016481517	5.839959788350765e-9
NONHSAT257501.1	-3.5740458819509007	0.012011342593734299
NONHSAT248502.1	-3.573951827336198	0.026656026249160743
PDCD6	-3.571992321429225	0.010533590462586126
BLOC1S6	-3.5699144525794964	0.020688677408323575
RNASET2	-3.562288800875189	0.03561607608413671
ENST00000398093	-3.5605401746120577	0.0017008418665214943
CFL2	-3.5532464950754936	3.9130744754547553e-4
NONHSAT017487.2	-3.5500294749075247	0.015330000678458928
NONHSAT157216.1	-3.5472901108245862	0.007531618935569706
TSNARE1	-3.5417349774775766	0.01059977210902003
FDFT1	-3.539785782398767	0.04458265897116855
NONHSAT150337.1	-3.539494880218401	0.03648871077264702
SPDL1	-3.5387335034026064	0.007065077515150512
NONHSAT211818.1	-3.521738515425785	0.0042815974433206274
NONHSAT258917.1	-3.5124822305441477	0.019557743070104425
FAM156A	-3.5105021079214973	0.048609805525132506
GALK2	-3.5085280244618082	0.046323894214811555
NONHSAT227382.1	-3.5082691118725267	0.04990781275995459
TP73-AS1	-3.5072747274015303	0.04987748690542687
NMNAT2	-3.5017836254587436	0.021658204981934343
FAM118A	-3.5002742227360986	0.0455530561669426
NONHSAT063983.2	-3.495280330495653	0.04667861253711987
POLR2M	-3.4884137623493747	0.005631451963011391
CLDND1	-3.486107043295771	0.00097821208028684185
NONHSAT002056.2	-3.4741476528430053	0.017778119366648512
S100A13	-3.4696688554259967	0.002234093780623774
ENST00000612143	-3.4676000112214673	0.009537627523694064
NONHSAT234767.1	-3.4644783394408525	0.02276987294256208
ENST00000630065	-3.4562774595678807	1.278173703128475e-4
EEF1E1	-3.455498772634837	0.040464310927997835
SLC51A	-3.4538172214842753	0.03036020968621425
NONHSAT029197.2	-3.4506273631721087	0.011720461411768253
IKZF2	-3.449229586304826	0.01234414268418934
NONHSAT258878.1	-3.445940617651192	0.037587112019912286
MCRIP1	-3.4399287542011163	5.067259873385171e-4
ENST00000604231	-3.4333370545912403	0.012167794728111822
NONHSAT230605.1	-3.432300492112399	0.04003925070442212
GANC	-3.429906038239971	0.03807702746887406
ENST00000592181	-3.426747743342885	0.029298104848230894
PLEKHG5	-3.423765928417451	0.012780512740384012
NONHSAT239011.1	-3.4118215372407863	0.0018853935041018407
CRADD	-3.4030284499025525	0.0025859951667976033
